sep=	
ticks[42]	tempo(s)[42]	ticks[CPP]	tempo(s)[CPP]
737	0.737	1867	1.867
583	0.583	1802	1.802
601	0.601	1913	1.913
641	0.641	1914	1.914
595	0.595	1876	1.876
594	0.594	1868	1.868
638	0.638	2032	2.032
603	0.603	1924	1.924
610	0.61	1906	1.906
620	0.62	2161	2.161
611	0.611	1957	1.957
600	0.6	1907	1.907
647	0.647	1875	1.875
593	0.593	1939	1.939
592	0.592	2019	2.019
592	0.592	1889	1.889
589	0.589	1811	1.811
578	0.578	1889	1.889
593	0.593	1804	1.804
580	0.58	1814	1.814
576	0.576	1937	1.937
653	0.653	2291	2.291
634	0.634	1932	1.932
634	0.634	1890	1.89
614	0.614	2018	2.018
591	0.591	1836	1.836
579	0.579	1938	1.938
593	0.593	1916	1.916
619	0.619	1917	1.917
607	0.607	1942	1.942
619	0.619	1955	1.955
634	0.634	1937	1.937
635	0.635	1989	1.989
624	0.624	1939	1.939
654	0.654	2007	2.007
629	0.629	1921	1.921
642	0.642	2056	2.056
616	0.616	1928	1.928
640	0.64	1882	1.882
618	0.618	1924	1.924
624	0.624	1949	1.949
689	0.689	2029	2.029
613	0.613	1914	1.914
615	0.615	1987	1.987
627	0.627	1897	1.897
595	0.595	1926	1.926
607	0.607	1902	1.902
616	0.616	1944	1.944
621	0.621	1921	1.921
602	0.602	1877	1.877
638	0.638	1842	1.842
611	0.611	1803	1.803
572	0.572	1814	1.814
573	0.573	1908	1.908
598	0.598	1928	1.928
599	0.599	1896	1.896
644	0.644	1935	1.935
605	0.605	1910	1.91
589	0.589	1910	1.91
596	0.596	1920	1.92
570	0.57	1810	1.81
566	0.566	1822	1.822
577	0.577	1868	1.868
608	0.608	1937	1.937
581	0.581	1957	1.957
622	0.622	1910	1.91
606	0.606	1994	1.994
597	0.597	1910	1.91
608	0.608	1871	1.871
579	0.579	1809	1.809
568	0.568	1835	1.835
570	0.57	1919	1.919
602	0.602	1919	1.919
612	0.612	1906	1.906
653	0.653	1922	1.922
605	0.605	1923	1.923
605	0.605	1982	1.982
615	0.615	1901	1.901
601	0.601	1958	1.958
597	0.597	1914	1.914
578	0.578	1906	1.906
597	0.597	1923	1.923
598	0.598	1936	1.936
600	0.6	1911	1.911
600	0.6	1892	1.892
699	0.699	1846	1.846
558	0.558	1802	1.802
602	0.602	1832	1.832
569	0.569	1918	1.918
567	0.567	1859	1.859
579	0.579	1832	1.832
584	0.584	1819	1.819
583	0.583	1850	1.85
564	0.564	1802	1.802
587	0.587	1902	1.902
604	0.604	1933	1.933
573	0.573	1857	1.857
646	0.646	2444	2.444
761	0.761	2207	2.207
610	0.61	1974	1.974
